Movie Title,Release Date,Wikipedia URL,Genre,Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue,profit,director,return on investment,year
The Hunger Games: Mockingjay Part 2,04-11-2015,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%25E2%2580%2593_Part_2,Sci-Fi,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,160000000,653400000,493400000,Francis Lawrence,308.38%,2015
The Huntsman: Winter's War,22-04-2016,https://en.wikipedia.org/wiki/The_Huntsman:_Winter%2527s_War,Fantasy,Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain,Nick Frost,115000000,164600000,49600000,Cedric Nicolas-Troyan,43.13%,2016
The Iceman,03-05-2013,https://en.wikipedia.org/wiki/The_Iceman_(film),Drama,James Edward Franco,Michael Shannon,Winona Ryder,Chris Evans,Ray Liotta,10000000,4400000,-5600000,Ariel Vromen,-56.00%,2013
The Identical,17-04-2014,https://en.wikipedia.org/wiki/The_Identical,Religious,Ray Liotta,Ashley Judd,Seth Green,Brian Geraghty,Joe Pantoliano,16000000,2800000,-13200000,Dustin Marcellino,-82.50%,2014
The Imitation Game,29-08-2014,https://en.wikipedia.org/wiki/The_Imitation_Game,Drama,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech,14000000,233600000,219600000,Morten Tyldum,1568.57%,2014
The Impossible,21-12-2012,https://en.wikipedia.org/wiki/The_Impossible_(2012_film),Drama,Naomi Watts,Ewan McGregor,unknown,unknown,unknown,45000000,180300000,135300000,Juan Antonio Bayona,300.67%,2012
The Incredible Burt Wonderstone,15-03-2013,https://en.wikipedia.org/wiki/The_Incredible_Burt_Wonderstone,Comedy,Steve Carell,Jim Carrey,Steve Buscemi,Olivia Wilde,James Gandolfini,34000000,27400000,-6600000,Don Scardino,-19.41%,2013
The Infiltrator,13-07-2016,https://en.wikipedia.org/wiki/The_Infiltrator_(2016_film),Drama,Bryan Cranston,Diane Kruger,Benjamin Bratt,John Leguizamo,Amy Ryan,47500000,15200000,-32300000,Brad Furman,-68.00%,2016
The Intern,15-09-2015,https://en.wikipedia.org/wiki/The_Intern_(2015_film),Comedy,Robert De Niro,Anne Hathaway,Rene Russo,Adam DeVine,Anders Holm,44000000,194600000,150600000,Nancy Meyers,342.27%,2015
The Internship,07-06-2013,https://en.wikipedia.org/wiki/The_Internship,Comedy,Vince Vaughn,Owen Wilson,Dylan O'Brien,Rose Byrne,Jessica Szohr,58000000,93000000,35000000,Shawn Levy,60.34%,2013
The Interview,11-12-2014,https://en.wikipedia.org/wiki/The_Interview_(2014_film),Action,Seth Rogen,James Franco,Lizzy Caplan,unknown,unknown,44000000,11300000,-32700000,Seth Rogen,-74.32%,2014
The Judge,04-09-2014,https://en.wikipedia.org/wiki/The_Judge_(2014_film),Comedy,Robert Downey,unknown,Robert Duvall,Vera Farmiga,Billy Bob Thornton,50000000,84400000,34400000,David Dobkin,68.80%,2014
The Lady in the Van,04-12-2015,https://en.wikipedia.org/wiki/The_Lady_in_the_Van,Comedy,Maggie Smith,Alex Jennings,Jim Broadbent,Frances de la Tour,Roger Allam,6000000,41400000,35400000,Nicholas Hytner,590.00%,2015
The Last Exorcism Part II,01-03-2013,https://en.wikipedia.org/wiki/The_Last_Exorcism_Part_II,Horror,Ashley Bell,Spencer Treat Clark,Muse Watson,Louis Herthum,Judd Lormand,5000000,15100000,10100000,Ed Gass-Donnelly,202.00%,2013
The Last Stand,18-01-2013,https://en.wikipedia.org/wiki/The_Last_Stand_(2013_film),Action,Arnold Schwarzenegger,Forest Whitaker,Peter Stormare,Jaimie Alexander,Rodrigo Santoro,45000000,48300000,3300000,Kim Ji-woon,7.33%,2013
The Last Witch Hunter,23-10-2015,https://en.wikipedia.org/wiki/The_Last_Witch_Hunter,Action,Vin Diesel,Michael Caine,Rose Leslie,Elijah Wood,unknown,90000000,140400000,50400000,Breck Eisner,56.00%,2015
The Lazarus Effect,27-02-2015,https://en.wikipedia.org/wiki/The_Lazarus_Effect_(2015_film),Horror,Olivia Wilde,Mark Duplass,Donald Glover,unknown,unknown,3300000,38400000,35100000,David Gelb,1063.64%,2015
The Legend of Hercules,10-01-2014,https://en.wikipedia.org/wiki/The_Legend_of_Hercules,Action,Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam Garrigan,70000000,61300000,-8700000,Renny Harlin,-12.43%,2014
The Legend of Tarzan,01-07-2016,https://en.wikipedia.org/wiki/The_Legend_of_Tarzan_(film),Action,Alexander Skarsgard,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,180000000,352700000,172700000,David Yates,95.94%,2016
The Lego Movie,01-02-2014,https://en.wikipedia.org/wiki/The_Lego_Movie,Family,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Nick Offerman,60000000,469200000,409200000,Phil Lord,682.00%,2014
The Letters,04-12-2015,https://en.wikipedia.org/wiki/The_Letters_(film),Drama,Juliet Stevenson,Max von Sydow,Rutger Hauer,Priya Darshini,unknown,1000000,1600000,600000,William Riead,60.00%,2015
The Lucky One,20-04-2012,https://en.wikipedia.org/wiki/The_Lucky_One_(film),Drama,Zac Efron,Taylor Schilling,Jay R. Ferguson,Riley Thomas Stewart,Adam Lefevre,25000000,99400000,74400000,Scott Hicks,297.60%,2012
The Man from U.N.C.L.E.,07-08-2015,https://en.wikipedia.org/wiki/The_Man_from_U.N.C.L.E._(film),Action,Henry Cavill,Armie Hammer,Elizabeth Debicki,Alicia Vikander,Hugh Grant,75000000,109800000,34800000,Guy Ritchie,46.40%,2015
The Man with the Iron Fists,02-11-2012,https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Fists,Action,Russell Crowe,Lucy Liu,David Bautista,RZA,Byron Mann,20000000,20300000,300000,RZA,1.50%,2012
The Martian,11-09-2015,https://en.wikipedia.org/wiki/The_Martian_(film),Sci-Fi,Matt Damon,Jeff Daniels,Kristen Wiig,Sean Bean,Jessica Chastain,108000000,630200000,522200000,Ridley Scott,483.52%,2015
The Master,14-09-2012,https://en.wikipedia.org/wiki/The_Master_(2012_film),Drama,Philip Seymour Hoffman,Joaquin Phoenix,Jesse Plemons,David Warshofsky,Amy Adams,32000000,28300000,-3700000,Paul Thomas Anderson,-11.56%,2012
The Maze Runner,19-09-2014,https://en.wikipedia.org/wiki/The_Maze_Runner_(film),Sci-Fi,Dylan O'Brien,Will Poulter,Thomas Sangster,Aml Ameen,Kaya Scodelario,34000000,348300000,314300000,Wes Ball,924.41%,2014
The Mermaid,08-02-2016,https://en.wikipedia.org/wiki/The_Mermaid_(2016_film),Sci-Fi,Deng Chao,Lin Yun,Show Luo,Zhang Yuqi,Kris Wu,60720000,553800000,493080000,Stephen Chow,812.06%,2016
The Monuments Men,07-02-2014,https://en.wikipedia.org/wiki/The_Monuments_Men,Drama,George Clooney,Matt Damon,Bill Murray,John Goodman,Jean Dujardin,70000000,155000000,85000000,George Clooney,121.43%,2014
The Mortal Instruments: City of Bones,21-08-2013,https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones,Action,Lily Collins,Jamie Campbell Bower,Robert Sheehan,Jemima West,Kevin Durand,60000000,90600000,30600000,Harald Zwart,51.00%,2013
The Night Before,20-11-2015,https://en.wikipedia.org/wiki/The_Night_Before_(2015_film),Comedy,Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,unknown,unknown,25000000,52400000,27400000,Jonathan Levine,109.60%,2015
The November Man,27-08-2014,https://en.wikipedia.org/wiki/The_November_Man,Thriller,Pierce Brosnan,Olga Kurylenko,Luke Bracey,Bill Smitrovich,Will Patton,15000000,34800000,19800000,Roger Donaldson,132.00%,2014
The Nut Job,11-01-2014,https://en.wikipedia.org/wiki/The_Nut_Job,Family,Will Arnett,Katherine Heigl,Liam Neeson,Brendan Fraser,Gabriel Iglesias,42800000,120900000,78100000,Peter Lepeniotis,182.48%,2014
The Oogieloves in the Big Balloon Adventure,29-08-2012,https://en.wikipedia.org/wiki/The_Oogieloves_in_the_Big_Balloon_Adventure,Family,Toni Braxton,Cloris Leachman,Christopher Lloyd,Chazz Palminteri,Cary Elwes,20000000,1100000,-18900000,Matthew Diamond,-94.50%,2012
The Other Woman,31-03-2014,https://en.wikipedia.org/wiki/The_Other_Woman_(2014_film),Comedy,Cameron Diaz,Leslie Mann,Kate Upton,Nikolaj Coster-Waldau,Taylor Kinney,40000000,196700000,156700000,Nick Cassavetes,391.75%,2014
The Peanuts Movie,01-11-2015,https://en.wikipedia.org/wiki/The_Peanuts_Movie,Animation,Bill Melendez,Noah Schnapp,Hadley Belle Miller,AJ Teece,Noah Johnston,99000000,246200000,147200000,Steve Martino,148.69%,2015
The Perfect Guy,02-09-2015,https://en.wikipedia.org/wiki/The_Perfect_Guy_(2015_film),Thriller,Sanaa Lathan,Michael Ealy,Morris Chestnut,unknown,unknown,18000000,60300000,42300000,David M. Rosenthal,235.00%,2015
The Perfect Match,11-03-2016,https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film),Romance,Terrence J,Cassie Ventura,Donald Faison,Dascha Polanco,Robert Christopher Riley,5000000,10400000,5400000,Bille Woodruff,108.00%,2016
The Perks of Being a Wallflower,21-09-2012,https://en.wikipedia.org/wiki/The_Perks_of_Being_a_Wallflower_(film),Drama,Emma Watson,Logan Lerman,Mae Whitman,Nina Dobrev,Johnny Simmons,13000000,33400000,20400000,Stephen Chbosky,156.92%,2012
The Pirates! Band of Misfits,27-04-2012,https://en.wikipedia.org/wiki/The_Pirates!_In_an_Adventure_with_Scientists_(film),Comedy,Hugh Grant,Salma Hayek,Jeremy Piven,Imelda Staunton,David Tennant,55000000,123000000,68000000,Peter Lord,123.64%,2012
The Place Beyond the Pines,29-03-2013,https://en.wikipedia.org/wiki/The_Place_Beyond_the_Pines,Crime,Ryan Gosling,Bradley Cooper,Rose Byrne,Eva Mendes,Ray Liotta,15000000,47000000,32000000,Derek Cianfrance,213.33%,2013
The Possession,31-08-2012,https://en.wikipedia.org/wiki/The_Possession_(2012_film),Horror,Jeffrey Dean Morgan,Kyra Sedgwick,unknown,unknown,unknown,14000000,78500000,64500000,Ole Bornedal,460.71%,2012
The Purge,31-05-2013,https://en.wikipedia.org/wiki/The_Purge,Sci-Fi,Ethan Hawke,Lena Headey,Max Burkholder,Tony Oller,Edwin Hodge,3000000,89300000,86300000,James DeMonaco,2876.67%,2013
The Purge: Election Year,01-07-2016,https://en.wikipedia.org/wiki/The_Purge:_Election_Year,Horror,Frank Grillo,Betty Gabriel,Edwin Hodge,Kyle Secor,Joseph Julian Soria,10000000,105600000,95600000,James DeMonaco,956.00%,2016
The Raid 2,21-01-2014,https://en.wikipedia.org/wiki/The_Raid_2,Action,Iko Uwais,Tio Pakusadewo,Arifin Putra,Julie Estelle,Alex Abbad,4500000,6600000,2100000,Gareth Evans,46.67%,2014
The Raid: Redemption ,23-03-2012,https://en.wikipedia.org/wiki/The_Raid:_Redemption,Action,Iko Uwais,Doni Alamsyah,Joe Taslim,Yayan Ruhian,Ray Sahetapy,1100000,9140000,8040000,Gareth Evans,730.91%,2012
The Raven,27-04-2012,https://en.wikipedia.org/wiki/The_Raven_(2012_film),Thriller,John Cusack,Alice Eve,Luke Evans,Brendan Gleeson,Oliver Jackson-Cohen,26000000,29700000,3700000,James McTeigue,14.23%,2012
The Revenant,25-12-2015,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),Thriller,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,unknown,135000000,533000000,398000000,John Madden,294.81%,2015
The Second Best Exotic Marigold Hotel,26-02-2015,https://en.wikipedia.org/wiki/The_Second_Best_Exotic_Marigold_Hotel,Comedy,Judi Dench,Bill Nighy,Maggie Smith,Richard Gere,Celia Imrie,10000000,86000000,76000000,John Madden,760.00%,2015
The Second Mother,25-01-2015,https://en.wikipedia.org/wiki/The_Second_Mother_(2015_film),Drama,Regina Casé,Michel Joelsas,Camila MÃ¡rdila,unknown,unknown,4000000,6200000,2200000,Anna Muylaert,55.00%,2015
The Secret Life of Pets,08-07-2016,https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets,Adventure,Louis C.K.,Eric Stonestreet,Kevin Hart,Albert Brooks,Hannibal Buress,75000000,724900000,649900000,Chris Renaud,866.53%,2016
The Secret World of Arrietty,17-02-2012,https://en.wikipedia.org/wiki/Arrietty,Adventure,Will Arnett,Amy Poehler,Carol Burnett,Bridgit Mendler,David Henrie,23000000,145600000,122600000,Gary Rydstrom,533.04%,2012
The Shallows,21-06-2016,https://en.wikipedia.org/wiki/The_Shallows_(film),Horror,Blake Lively,Óscar Jaenada Gajo,unknown,unknown,unknown,17000000,93200000,76200000,Jaume Collet-Serra,448.24%,2016
The Signal,20-01-2014,https://en.wikipedia.org/wiki/The_Signal_(2014_film),Sci-Fi,Brenton Thwaites,Olivia Cooke,Sarah Clarke,Laurence Fishburne,unknown,4000000,2420000,-1580000,William Eubank,-39.50%,2014
The Single Moms Club,14-03-2014,https://en.wikipedia.org/wiki/The_Single_Moms_Club,Comedy,Tyler Perry,Nia Long,Wendi McLendon-Covey,Zulay Henao,Cocoa Brown,8000000,16300000,8300000,Tyler Perry,103.75%,2014
The Smurfs 2,31-07-2013,https://en.wikipedia.org/wiki/The_Smurfs_2,Adventure,Neil Patrick Harris,Jayma Mays,Hank Azaria,Tim Gunn,Brendan Gleeson,105000000,347500000,242500000,Raja Gosnell,230.95%,2013
The Spectacular Now,02-08-2013,https://en.wikipedia.org/wiki/The_Spectacular_Now,Drama,Miles Teller,Shailene Woodley,Kaitlyn Dever,Brie Larson,Dayo Okeniyi,2500000,6900000,4400000,James Ponsoldt,176.00%,2013
The SpongeBob Movie: Sponge Out of Water,06-02-2015,https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water,Adventure,unknown,Jonathan Aibel,Glenn Berger(screenplay),Antonio Banderas,Tom Kenny,74000000,323400000,249400000,Paul Tibbitt,337.03%,2015
The Sweet Escape,10-06-2015,https://en.wikipedia.org/wiki/The_Sweet_Escape_(film),Comedy,Bruno Podalydes,Sandrine Kiberlain,AgnÃ¨s Jaoui,Vimala Pons,unknown,3800000,3300000,-500000,Bruno Podalydes,-13.16%,2015
The Theory of Everything,07-09-2014,https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film),Biography,Eddie Redmayne,Felicity Jones,unknown,unknown,unknown,15000000,123700000,108700000,James Marsh,724.67%,2014
The Three Stooges,13-04-2012,https://en.wikipedia.org/wiki/The_Three_Stooges_(film),Comedy,Chris Diamantopoulos,Sean Hayes,Will Sasso,Jane Lynch,Larry David,30000000,54800000,24800000,Bobby Farrelly,82.67%,2012
The Transporter Refueled,04-09-2015,https://en.wikipedia.org/wiki/The_Transporter_Refueled,Action,Ed Skrein,Ray Stevenson,Loan Chabanol,Gabriella Wright,unknown,25000000,72600000,47600000,Camille Delamarre,190.40%,2015
The Twilight Saga: Breaking Dawn  Part 2,16-11-2012,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%25E2%2580%2593_Part_2,Fantasy,Kristen Stewart,Robert Pattinson,Michael Sheen,Mackenzie Foy,Billy Burke,120000000,829700000,709700000,Bill Condon,591.42%,2012
The Vatican Tapes,25-07-2015,https://en.wikipedia.org/wiki/The_Vatican_Tapes,Horror,Kathleen Robertson,Michael Peña,Djimon Hounsou,Dougray Scott,John Patrick Amedori,13000000,13500000,500000,Mark Neveldine,3.85%,2015
The Visit,08-09-2015,https://en.wikipedia.org/wiki/The_Visit_(2015_American_film),Horror,Kathryn Hahn,Ed Oxenbould,Deanna Dunagan,Peter McRobbie,Olivia DeJonge,5000000,98500000,93500000,M. Night Shyamalan,1870.00%,2015
The Walk,30-09-2015,https://en.wikipedia.org/wiki/The_Walk_(2015_film),Biography,Joseph Gordon-Levitt,Ben Kingsley,James Badge Dale,Charlotte Le Bon,unknown,45000000,61200000,16200000,Robert Zemeckis,36.00%,2015
The Watch,27-07-2012,https://en.wikipedia.org/wiki/The_Watch_(2012_film),Comedy,Ben Stiller,Vince Vaughn,Rosemarie DeWitt,Jonah Hill,Richard Ayoade,68000000,68300000,300000,Akiva Schaffer,0.44%,2012
The Water Diviner,26-12-2014,https://en.wikipedia.org/wiki/The_Water_Diviner,Drama,Cem Yilmaz,Miyavi,YÄ±lmaz ErdoÄŸan,unknown,unknown,22500000,30800000,8300000,Russell Crowe,36.89%,2014
"The Way, Way Back",05-07-2013,"https://en.wikipedia.org/wiki/The_Way,_Way_Back",Comedy,Steve Carell,Toni Collette,Allison Janney,AnnaSophia Robb,Sam Rockwell,5000000,5000000,0,Nat Faxon,0.00%,2013
The Wedding Ringer,16-01-2015,https://en.wikipedia.org/wiki/The_Wedding_Ringer,Romance,Kevin Hart,Josh Gad,Kaley Cuoco,Olivia Thirlby,Alan Ritchson,23000000,79800000,56800000,Jeremy Garelick,246.96%,2015
The Witch,27-01-2016,https://en.wikipedia.org/wiki/The_Witch_(2015_film),Horror,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,unknown,unknown,3000000,40400000,37400000,Robert Eggers,1246.67%,2016
The Wolverine,24-07-2013,https://en.wikipedia.org/wiki/The_Wolverine_(film),Action,Hugh Jackman,Famke Janssen,Hiroyuki Sanada,Hal Yamanouchi,Tao Okamoto,120000000,414800000,294800000,James Mangold,245.67%,2013
The Woman in Black,03-02-2012,https://en.wikipedia.org/wiki/The_Woman_in_Black_(2012_film),Horror,Daniel Radcliffe,CiarÃ¡n Hinds,Janet McTeer,Liz White,Alisa Khazanova,15000000,128500000,113500000,James Watkins,756.67%,2012
The Woman in Black: Angel of Death,30-12-2014,https://en.wikipedia.org/wiki/The_Woman_in_Black:_Angel_of_Death,Horror,Phoebe Fox,Jeremy Irvine,Helen McCrory,Adrian Rawlins,Oaklee Pendergast,15000000,48900000,33900000,Tom Harper,226.00%,2014
The World's End,19-07-2013,https://en.wikipedia.org/wiki/The_World%2527s_End_(film),Comedy,Simon Pegg,Nick Frost,Paddy Considine,Martin Freeman,Eddie Marsan,20000000,46100000,26100000,Edgar Wright,130.50%,2013
The Young Messiah,11-03-2016,https://en.wikipedia.org/wiki/The_Young_Messiah_(film),Drama,Adam Greaves-Neal,Sean Bean,unknown,unknown,unknown,18500000,7200000,-11300000,Cyrus Nowrasteh,-61.08%,2016
Think Like a Man,20-04-2012,https://en.wikipedia.org/wiki/Think_Like_a_Man,Comedy,Kevin Hart,Michael Ealy,Taraji P. Henson,Jerry Ferrara,Meagan Good,12000000,96100000,84100000,Tim Story,700.83%,2012
This Is the End,12-06-2013,https://en.wikipedia.org/wiki/This_Is_the_End,Comedy,Seth Rogen,Jay Baruchel,James Franco,Craig Robinson,Danny McBride,32000000,126000000,94000000,Evan Goldberg,293.75%,2013
This Is Where I Leave You,19-09-2014,https://en.wikipedia.org/wiki/This_Is_Where_I_Leave_You,Comedy,Jason Bateman,Tina Fey,Jane Fonda,Timothy Olyphant,Corey Stoll,19800000,41300000,21500000,Shawn Levy,108.59%,2014
This Means War,17-02-2012,https://en.wikipedia.org/wiki/This_Means_War_(film),Action,Tom Hardy,Chris Pine,Reese Witherspoon,Chelsea Handler,Til Schweiger,65000000,156500000,91500000,McG,140.77%,2012
Top Five,06-09-2014,https://en.wikipedia.org/wiki/Top_Five,Comedy,Chris Rock,Rosario Dawson,Genevieve Angelson,Rachel Feinstein,Dan Naturman,12000000,26100000,14100000,Chris Rock,117.50%,2014
Top Gun 3D,08-02-2013,https://en.wikipedia.org/wiki/Top_Gun,Action,Tom Cruise,Kelly McGillis,Val Kilmer,James Tolkan,Tom Skerritt,15000000,356800000,341800000,Tony Scott,2278.67%,2013
Total Recall,03-08-2012,https://en.wikipedia.org/wiki/Total_Recall_(2012_film),Action,Colin Farrell,Jessica Biel,Bryan Cranston,Kate Beckinsale,Bill Nighy,125000000,198500000,73500000,Len Wiseman,58.80%,2012
Trance,27-03-2013,https://en.wikipedia.org/wiki/Trance_(2013_film),Crime,James McAvoy,Vincent Cassel,Rosario Dawson,Tuppence Middleton,Lee Nicholas Harris,20000000,24300000,4300000,Danny Boyle,21.50%,2013
Transcendence,10-04-2014,https://en.wikipedia.org/wiki/Transcendence_(2014_film),Sci-Fi,Johnny Depp,Paul Bettany,Rebecca Hall,Kate Mara,Morgan Freeman,100000000,103000000,3000000,Wally Pfister,3.00%,2014
Triple 9,16-02-2016,https://en.wikipedia.org/wiki/Triple_9,Crime,Kate Winslet,Woody Harrelson,Gal Gadot,Anthony Mackie,Teresa Palmer,20000000,23400000,3400000,John Hillcoat,17.00%,2016
Trouble with the Curve,21-09-2012,https://en.wikipedia.org/wiki/Trouble_with_the_Curve,Drama,Clint Eastwood,Amy Adams,Matthew Lillard,Justin Timberlake,John Goodman,60000000,49000000,-11000000,Robert Lorenz,-18.33%,2012
Trumbo,12-09-2015,https://en.wikipedia.org/wiki/Trumbo_(2015_film),Drama,Bryan Cranston,Diane Lane,Helen Mirren,John Goodman,Elle Fanning,15000000,8200000,-6800000,Jay Roach,-45.33%,2015
Truth,12-09-2015,https://en.wikipedia.org/wiki/Truth_(2015_film),Drama,Robert Redford,Cate Blanchett,Dennis Quaid,Topher Grace,Elisabeth Moss,9600000,5400000,-4200000,James Vanderbilt,-43.75%,2015
Turbo,17-07-2013,https://en.wikipedia.org/wiki/Turbo_(film),Comedy,Ryan Reynolds,Paul Giamatti,Michael PeÃ±a,Luis GuzmÃ¡n,Bill Hader,127000000,282600000,155600000,David Soren,122.52%,2013
Tusk,06-09-2014,https://en.wikipedia.org/wiki/Tusk_(2014_film),Horror,Michael Parks,Justin Long,Haley Joel Osment,GÃ©nesis RodrÃ­guez,Johnny Depp,3000000,1900000,-1100000,Kevin Smith,-36.67%,2014
Unbroken,17-11-2014,https://en.wikipedia.org/wiki/Unbroken_(film),Drama,Jack O'Connell,Miyavi,Domhnall Gleeson,Garrett Hedlund,Jai Courtney,65000000,163400000,98400000,Angelina Jolie,151.38%,2014
Unfinished Business,06-03-2015,https://en.wikipedia.org/wiki/Unfinished_Business_(2015_film),Comedy,Vince Vaughn,Tom Wilkinson,Dave Franco,Sienna Miller,Nick Frost,35000000,14400000,-20600000,Ken Scott,-58.86%,2015
Unfriended,20-07-2014,https://en.wikipedia.org/wiki/Unfriended,Horror,Shelley Hennig,Renee Olstead,Jacob Wysocki,Will Peltz,unknown,1000000,64100000,63100000,Levan Gabriadze,6310.00%,2014
Vacation,29-07-2015,https://en.wikipedia.org/wiki/Vacation_(2015_film),Adventure,Ed Helms,Christina Applegate,Leslie Mann,Chris Hemsworth,Charlie Day,31000000,104900000,73900000,John Francis Daley,238.39%,2015
Vampire Academy,07-02-2014,https://en.wikipedia.org/wiki/Vampire_Academy_(film),Action,Zoey Deutch,Lucy Fry,Danila Kozlovsky,unknown,unknown,30000000,15400000,-14600000,Mark Waters,-48.67%,2014
Veronica Mars,14-03-2014,https://en.wikipedia.org/wiki/Veronica_Mars_(film),Mystery,Kristen Bell,Jason Dohring,Krysten Ritter,Ryan Hansen,Francis Capra,6000000,3500000,-2500000,Rob Thomas,-41.67%,2014
Victor Frankenstein,25-11-2015,https://en.wikipedia.org/wiki/Victor_Frankenstein_(film),Horror,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,unknown,40000000,34200000,-5800000,Paul McGuigan,-14.50%,2015
Wanderlust,24-02-2012,https://en.wikipedia.org/wiki/Wanderlust_(2012_film),Comedy,Paul Rudd,Jennifer Aniston,Malin Akerman,Justin Theroux,Ken Marino,35000000,24200000,-10800000,David Wain,-30.86%,2012
War Dogs,19-08-2016,https://en.wikipedia.org/wiki/War_Dogs_(2016_film),Crime,Jonah Hill,Miles Teller,Ana de Armas,J. B. Blanc,unknown,40000000,42700000,2700000,Todd Phillips,6.75%,2016
War Room,28-08-2015,https://en.wikipedia.org/wiki/War_Room_(film),Drama,Alex Kendrick,Priscilla Shirer,T.C. Stallings,Beth Moore,Karen Abercrombie,3000000,73700000,70700000,Alex Kendrick,2356.67%,2015
Warcraft,10-06-2016,https://en.wikipedia.org/wiki/Warcraft_(film),Action,Ben Foster,Travis Fimmel,Paula Patton,Toby Kebbell,Dominic Cooper,160000000,433500000,273500000,Duncan Jones,170.94%,2016
Warm Bodies,01-02-2013,https://en.wikipedia.org/wiki/Warm_Bodies_(film),Comedy,Nicholas Hoult,Teresa Palmer,Rob Corddry,John Malkovich,Analeigh Tipton,35000000,117000000,82000000,Jonathan Levine,234.29%,2013
What Maisie Knew,03-05-2013,https://en.wikipedia.org/wiki/What_Maisie_Knew_(film),Drama,Julianne Moore,Steve Coogan,Alexander Skarsgard,Joanna Vanderham,Onata Aprile,5000000,2700000,-2300000,Scott McGehee,-46.00%,2013
What to Expect When You're Expecting,18-05-2012,https://en.wikipedia.org/wiki/What_to_Expect_When_You%2527re_Expecting_(film),Comedy,Cameron Diaz,Jennifer Lopez,Brooklyn Decker,Elizabeth Banks,Anna Kendrick,40000000,84400000,44400000,Kirk Jones,111.00%,2012
When the Game Stands Tall,04-08-2014,https://en.wikipedia.org/wiki/When_the_Game_Stands_Tall,Religious,Jim Caviezel,Laura Dern,Michael Chiklis,Alexander Ludwig,unknown,15000000,30100000,15100000,Thomas Carter,100.67%,2014
Whiplash,16-01-2014,https://en.wikipedia.org/wiki/Whiplash_(2014_film),Drama,J. K. Simmons,Miles Teller,Paul Reiser,Melissa Benoist,unknown,3300000,49000000,45700000,Damien Chazelle,1384.85%,2014
Whiskey Tango Foxtrot,04-03-2016,https://en.wikipedia.org/wiki/Whiskey_Tango_Foxtrot_(film),Drama,Tina Fey,Margot Robbie,Martin Freeman,Billy Bob Thornton,Alfred Molina,35000000,24900000,-10100000,Glenn Ficarra,-28.86%,2016
White House Down,28-06-2013,https://en.wikipedia.org/wiki/White_House_Down,Action,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,James Woods,Richard Jenkins,150000000,205000000,55000000,Roland Emmerich,36.67%,2013
Wild,29-08-2014,https://en.wikipedia.org/wiki/Wild_(2014_film),Drama,Reese Witherspoon,Gaby Hoffmann,Michiel Huisman,Charles Baker,unknown,15000000,52500000,37500000,Jean-Marc Vallée,250.00%,2014
Winter's Tale,13-02-2014,https://en.wikipedia.org/wiki/Winter%2527s_Tale_(film),Drama,Colin Farrell,Russell Crowe,Jessica Brown Findlay,Jennifer Connelly,Will Smith,60000000,31100000,-28900000,Akiva Goldsman,-48.17%,2014
Wish I Was Here,18-01-2014,https://en.wikipedia.org/wiki/Wish_I_Was_Here,Drama,Zach Braff,Kate Hudson,Jim Parsons,Mandy Patinkin,Ashley Greene,6000000,5500000,-500000,Zach Braff,-8.33%,2014
Woman in Gold,01-04-2015,https://en.wikipedia.org/wiki/Woman_in_Gold_(film),Drama,Helen Mirren,Ryan Reynolds,Daniel BrÃ¼hl,Katie Holmes,Tatiana Maslany,11000000,61600000,50600000,Simon Curtis,460.00%,2015
Won't Back Down,28-09-2012,https://en.wikipedia.org/wiki/Won%2527t_Back_Down_(film),Drama,Viola Davis,Maggie Gyllenhaal,Holly Hunter,Ving Rhames,Rosie Perez,19000000,5400000,-13600000,Daniel Barnz,-71.58%,2012
Woodlawn,16-10-2015,https://en.wikipedia.org/wiki/Woodlawn_(film),Drama,Sean Astin,Nic Bishop,Caleb Castille,Sherri Shepherd,Jon Voight,13000000,14400000,1400000,The Erwin Brothers,10.77%,2015
World War Z,21-06-2013,https://en.wikipedia.org/wiki/World_War_Z_(film),Action,Brad Pitt,Mireille Enos,James Badge Dale,Daniella Kertesz,Matthew Fox,190000000,540000000,350000000,Marc Forster,184.21%,2013
